,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
0,0.8709677419354839,Another Day In Paradise,Another Day in Paradise - 2016 Remaster,Phil Collins,['Phil Collins'],1NCuYqMc8hKMb4cpNTcJbD,0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133,4,9
1,0.5533769063180828,Don't Know Much,Don't Know Much (with Aaron Neville),Linda Ronstadt (Featuring Aaron Neville),"['Linda Ronstadt', 'Aaron Neville']",5z3ZDMP02xF33yCvPFnct3,0.401,0.285,11,-11.005,1,0.0327,0.657,1.13e-05,0.158,0.267,130.465,211973,4,14
2,1.0,We Didn't Start The Fire,We Didn't Start the Fire,Billy Joel,['Billy Joel'],3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,287733,4,12
3,1.0,Rhythm Nation,Rhythm Nation,Janet Jackson,['Janet Jackson'],4nTYxxF8iWBq54LO3dBUie,0.633,0.931,1,-7.752,1,0.0686,0.0504,0.109,0.375,0.676,109.116,330933,4,8
4,1.0,With Every Beat Of My Heart,With Every Beat of My Heart,Taylor Dayne,['Taylor Dayne'],3hK26G5cYhJ9KjcUy1aBRk,0.773,0.893,5,-4.768,1,0.034,0.0827,2.25e-06,0.0984,0.971,121.37,262480,4,11
5,1.0,Back To Life,Back To Life,Soul II Soul,"['Soul II Soul', 'Caron Wheeler']",7vvRkLPIvfjjmCIqNxBuEZ,0.817,0.484,7,-11.659,1,0.143,0.0515,0.000213,0.0391,0.671,100.978,228267,4,15
6,0.8,Pump Up The Jam,Pump Up The Jam,Technotronic Featuring Felly,['Technotronic'],21qnJAMtzC6S5SESuqQLEK,0.885,0.844,10,-9.225,0,0.0733,0.0147,4.49e-06,0.0494,0.715,124.602,320307,4,12
7,1.0,Just Like Jesse James,Just Like Jesse James,Cher,['Cher'],5JGdpqo9wrRtOZtui5GShI,0.4,0.563,8,-10.233,1,0.0307,0.17,0.0,0.133,0.442,138.006,245733,4,11
8,1.0,This One's For The Children,This One's for the Children,New Kids On The Block,['New Kids On The Block'],78bDGxqn2KF2VU1G3Kz6J0,0.594,0.421,7,-13.707,0,0.0312,0.198,0.0,0.0832,0.637,74.041,238467,4,8
9,1.0,Living In Sin,Living In Sin,Bon Jovi,['Bon Jovi'],4urd42euwvihhC3j1G8Jt2,0.267,0.793,4,-7.12,1,0.0415,0.0247,0.0,0.0634,0.526,174.118,279053,4,13
10,1.0,How Am I Supposed To Live Without You,How Am I Supposed to Live Without You,Michael Bolton,['Michael Bolton'],3RMeOetCdXttthQK0clPuz,0.541,0.44,10,-12.206,1,0.031,0.191,0.0,0.114,0.232,140.273,255667,4,10
