year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,accuracy,recall,precision
1980,16.15954016,9.464566339,38.68311813,0.700725984,100,6.837696757,92.69171177,78.05166849,71.84288804,93.51702558,56.7428003,67.2408682,88.88,93.24,85.42
1981,12.75353519,0,10.57228716,0.152269557,91.13572452,4.300201687,100,65.72807531,92.61697495,79.22967001,45.34603895,65.0073345,84.75,91.03,81.12
1982,31.38970927,10.11480305,27.6029306,0,77.35626565,9.417041868,83.43976323,74.03542096,48.07154115,86.91270948,47.78964759,61.69288516,83.95,92.16,79.36
1983,41.99841098,42.76689865,73.75775917,11.58177273,57.95423548,7.533977055,43.39153947,56.63854208,42.46243831,100,68.83762625,71.3458574,81.72,89.16,77.69
1984,45.77659892,63.41616723,38.69598688,17.99533068,78.34404566,2.779166201,27.98763848,64.85371075,66.33601213,98.58185917,59.75103694,88.06480966,83.78,88.3,81
1985,41.35406928,64.02249291,69.20362625,4.845955506,68.70638084,2.166314514,31.64957905,80.08156142,55.27559162,97.00602636,57.00913573,95.66913224,84.17,89.63,80.84
1986,37.70590359,61.26392616,52.2032033,3.613570409,63.44745505,0,39.08257328,72.9458818,46.33900758,95.7204036,28.89293661,89.81944505,84.84,90.37,81.55
1987,43.34324928,62.62716945,56.69313615,3.403132944,62.78512891,4.550501278,30.79571864,56.94171674,30.25287475,95.92268523,45.03761104,88.2308484,83.41,87.8,81.12
1988,45.42310376,61.58756423,56.19101057,0.551944256,67.03837897,7.240123375,35.0096983,76.56048269,0,89.83137176,47.48606872,84.20926323,82.25,88.1,79.16
1989,28.52344181,62.90397305,44.60007576,6.747326688,86.27374628,8.596556887,34.67702079,47.50790324,16.82594772,79.36793668,41.39188711,86.62245125,83.18,87.5,80.75
1990,38.55383796,63.26510259,14.73070534,12.63755174,76.72748969,15.72985723,17.46063719,45.36042304,17.26939024,71.9178207,25.84649497,94.26222073,85.59,91.57,81.99
1991,54.43291899,54.45546572,41.03861043,8.207379462,64.44280959,17.08084751,11.33778418,100,34.20462065,67.90398558,34.81614115,97.36527746,84.4,88.47,81.9
1992,54.03084801,56.94910294,84.25799359,14.17630638,34.10803713,21.14854947,5.857993312,91.61928031,26.14564213,59.36835488,34.74387439,100,85.93,89.3,83.96
1993,63.56087582,38.02351364,94.66174282,17.47435916,53.17666269,31.82184375,16.74473161,88.52853481,72.03734326,53.37177352,32.70636216,94.65387474,85.51,90.65,82.38
1994,64.32434908,37.7330241,100,30.50560737,50.48876972,41.72814894,36.80537933,51.05266176,49.63773745,61.14739478,37.28252713,85.72437836,83.66,91.54,79.24
1995,62.02674055,41.30887825,65.98607321,39.23925653,42.66402489,40.07124733,35.63326163,74.48195796,34.20594274,54.93126683,16.09256811,80.57132823,82.61,87.92,79.76
1996,60.75938293,32.6771444,37.44222141,42.77095359,26.19922933,42.19088214,46.46706343,64.58055875,64.70603187,55.57990211,19.94262582,87.54629841,82.6,87.79,79.66
1997,84.61828332,30.45643313,53.10457158,46.25024551,32.59782115,42.64357357,40.54680378,93.53222666,28.60670303,61.8870297,26.49329931,82.47960221,82.84,89.85,78.85
1998,77.91852964,31.54899927,22.10263526,52.44792681,46.14195023,46.92683017,35.99746375,49.89435637,22.76360671,50.8518159,11.58694105,73.21993836,84.29,90.38,80.68
1999,57.01148894,51.28807192,71.50646953,64.20933782,57.90580212,39.86186964,25.28060778,39.72252061,31.48250214,49.69265139,4.70220989,67.39320176,81.88,88.32,78.27
2000,75.78092287,75.95216507,27.18990486,76.75900711,32.73276571,41.81997856,13.58747846,19.80076012,3.803718754,60.82505336,12.28036288,70.84789007,83.81,88.66,80.87
2001,66.05323444,73.80709518,52.07617262,81.31855711,35.40269321,53.06690026,23.25040654,26.96723761,46.99333741,60.57366609,0,64.59315394,81.58,87.37,78.65
2002,45.94739011,82.1676731,39.0178987,87.74497322,20.63025484,60.92166558,15.96882789,15.23849814,8.169223746,58.62887785,18.41654621,63.89617445,82.96,88.1,79.88
2003,48.8595701,82.78577966,36.76874681,88.8637783,41.34908547,64.51316614,17.38837651,5.26916034,28.17444296,56.42693869,10.83440148,63.51175879,82.74,88.67,79.82
2004,53.45227573,84.58668933,36.16178169,90.64829387,48.99051014,63.24187812,14.22006097,13.33922934,44.47610978,57.37618827,27.59735457,58.44532984,83.03,88.69,79.78
2005,42.07590724,82.83775056,29.30530411,87.78486957,56.67211154,61.64533904,9.349753966,19.00037608,71.4922574,44.65753875,51.4027326,58.64705191,83.83,88.42,81.07
2006,36.70062879,92.0272779,20.83663939,94.20389927,58.77111713,57.13648144,0,0.793904359,100,45.50132066,64.91485551,51.37335781,82.07,88.55,78.82
2007,31.50376832,86.12731699,26.01620185,92.87750213,62.70422827,48.91751959,9.710717947,13.874154,67.4156735,40.27911134,60.46431319,50.84753819,83.92,88.3,81.26
2008,12.16672384,91.32782422,0,93.36008273,80.47712573,39.82385141,9.974765334,25.03415454,83.70900118,34.261371,72.55180071,51.35971487,83.6,84.89,83.23
2009,0,100,55.88687352,100,86.08558685,33.28028898,3.97239781,7.520958354,95.45979924,29.78540313,100,46.80850618,82.69,87.71,79.92
2010,6.074590393,95.02848743,41.85103874,98.21061892,80.44911636,39.41439766,16.53296406,12.24749913,94.12701282,33.00717046,71.98245794,48.98979454,83.04,87.81,80.35
2011,4.160431235,97.13594024,43.72454557,98.12391653,73.14788124,39.88121764,12.58785008,0.850538854,75.69564862,26.81469222,79.94555909,43.93805198,84.52,91.17,80.58
2012,17.83606989,97.02799313,21.3301072,94.37057243,66.06952438,40.08247038,3.963436187,7.914524776,71.54085115,31.17311978,67.93057384,47.29655385,79.74,86.64,76.27
2013,22.34578233,73.42595673,8.407269345,89.0462772,76.3612553,44.44699481,7.637145511,13.93504064,74.76952404,24.8113725,71.78615488,52.44596699,82.22,86.67,79.65
2014,34.82474663,74.68206194,36.59083252,88.21169341,78.17632851,35.6095216,18.77480401,9.106972735,61.50095471,24.40448189,59.52640696,44.11255572,80.49,87.62,76.68
2015,46.58699902,58.83287244,23.27883011,83.42369277,20.91901622,50.47103378,20.10913415,0,57.21093612,14.36803858,61.0876614,37.17376834,81.31,87.09,78.11
2016,52.15057084,43.4117119,40.36027263,76.48366014,15.23874868,67.17866193,29.95052422,2.241492542,52.09265256,7.764698607,46.49804379,39.73235405,79.24,87.17,75.38
2017,86.10431585,28.39809262,23.18688238,73.55539623,21.23572292,87.82500172,39.4231326,7.214418449,4.917782135,5.962115317,60.8448856,30.38236115,77.68,85.64,74.14
2018,100,25.91366535,38.716472,77.15851984,18.05364406,98.98936243,42.86651082,4.965205923,37.73586148,0,63.29470386,19.51552592,76.56,84.05,73.12
2019,89.34628715,26.2287985,29.79091605,77.17257102,20.00352117,88.40334233,64.01199821,11.33996554,34.45576535,15.3269148,51.64534639,6.912060514,76.44,87.15,71.94
2020,99.4067991,25.67995632,17.15986118,72.89272287,0,100,56.31864799,6.928940922,37.30494563,16.84530907,70.36749434,0,77.96,87.53,73.59
2021,66.40088418,20.29458222,28.42314521,68.86566778,34.89808779,93.93892139,64.85931368,1.943183335,40.50709649,17.41043426,58.96326255,5.556237612,73.48,82.69,69.45
