,artist,artist_id
0,John Lennon,1
1,Leo Sayer,2
2,Neil Diamond,3
3,Kenny Rogers,4
4,Bruce Springsteen,5
5,Air Supply,6
6,Barbra Streisand,7
7,Barry Gibb,8
8,Blondie,9
9,Pat Benatar,10
10,Heart,11
11,Rod Stewart,12
12,The Police,13
13,Stevie Wonder,14
14,Queen,15
15,Diana Ross,16
16,Barry Manilow,17
17,Kool & The Gang,18
18,The Korgis,19
19,Eddie Rabbitt,20
20,Steely Dan,21
21,Andy Gibb,22
22,Olivia Newton-John,23
23,Cliff Richard,24
24,Don Williams,25
25,Daryl Hall & John Oates,26
26,The Doobie Brothers,27
27,DEVO,28
28,Delbert McClinton,29
29,Tierra,30
30,Boz Scaggs,31
31,Christopher Cross,32
32,Waylon Jennings,33
33,Dolly Parton,34
34,Pooping Poop Poopers and Shouting Girls Crying Man,35
35,ABBA,36
36,Dan Fogelberg,37
37,Harry Chapin,38
38,REO Speedwagon,39
39,Donna Summer,40
40,The Babys,41
41,Michael Stanley Band,42
42,Bette Midler,43
43,L.T.D.,44
44,Climax Blues Band,45
45,"Earth, Wind & Fire",46
46,Lucky Daye,47
47,Teena Marie,48
48,Ronnie Milsap,49
49,The Jacksons,50
50,Teddy Pendergrass,51
51,Rockpile,52
52,The Alan Parsons Project,53
53,Eagles,54
54,John Mellencamp,55
55,Randy Meisner,56
56,Rita Coolidge,57
57,Supertramp,58
58,The Pointer Sisters,59
59,The Blues Brothers,60
60,Joe Gastwirt,61
61,Stephanie Mills,62
62,Bob Seger,63
63,With Confidence,64
64,Our Lady Peace,65
65,Donnie Iris,66
66,AC/DC,67
67,David Bowie,68
68,Trippie Redd,69
69,Dionne Warwick,70
70,The Vapors,71
71,Shalamar,72
72,Dire Straits,73
73,Aretha Franklin,74
74,"Anonymous', ""Choir of King's College, Cambridge"", 'Sir David Willcocks",75
75,The Outlaws,76
76,The Kings,77
77,Stacy Lattisaw,78
78,Cheap Trick,79
79,Willie Nelson,80
80,Jürgen Drews,81
81,Kansas,82
82,Jaya The Cat,83
83,The Manhattan Transfer,84
84,Paul Simon,85
85,The Reddings,86
86,Pure Prairie League,87
87,Jimmy Hall,88
88,Irene Cara,89
89,Carly Simon,90
90,The Rolling Stones,91
91,Rupert Holmes,92
92,Nielsen & Pearson,93
93,Jackson Browne,94
94,Robbin Thompson,95
95,Mac Davis,96
96,Pete Townshend,97
97,Billy Joel,98
98,Kenny Loggins,99
99,Anne Murray,100
100,George Benson,101
101,Eric Clapton,102
102,707,103
103,Electric Light Orchestra,104
104,Johnny Lee,105
105,Robert John,106
