,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
0,,,Kau,,['Koes Plus'],2bAR0qq8SiFJzycsHCY2Ce,0.615,0.821,9,-9.842,0,0.0625,0.7,0.0032,0.243,0.588,138.718,198565,4,0
1,,,Things To Make And Do - Remastered,,['U2'],4umKao9HhirHY92iGctXgQ,0.416,0.918,1,-9.103,1,0.0627,0.000716,0.835,0.272,0.835,144.672,136547,4,0
2,,,Here We Go,,"['Minnie Riperton', 'Peabo Bryson', 'Roberta Flack']",4Ro6O6zW2bNaHLNVGixHwF,0.53,0.677,6,-9.658,0,0.115,0.556,4.48e-05,0.645,0.733,178.316,420987,4,0
3,,,The Return of Jackie and Judy - 2002 Remaster,,['Ramones'],19S5RSp5XLsiPFvkmLbgzQ,0.364,0.986,6,-5.946,0,0.0936,0.0206,0.876,0.104,0.497,160.176,192293,4,0
4,,,Bass Culture,,['Linton Kwesi Johnson'],6h2SS2OiKB6wYZrd75h9n0,0.862,0.294,4,-14.923,0,0.225,0.00113,0.0311,0.0612,0.551,130.085,366173,4,0
5,,,An agapas ki einai oneiro / Na se afiso den mporo / Eixa mia varka sto nisi / Kapetanissa / Hthela na eimai sto xorio / Anamniseis / Me agapas 'h oxi / Ela gia ta za na pame / Troxonomos,,['Xristos Tselentis'],7FGoME7p2l2PiSmHQH7dgp,0.348,0.575,6,-6.95,0,0.076,0.924,0.0,0.38,0.754,191.641,1034507,4,0
6,,,Unter seinen Feinden,,"['Wetzlarer Jugendchor', 'Margret Birkenfeld', 'Ulrike Wetter']",7kL1i1hztVzrq0xYljEpJ8,0.409,0.0914,1,-16.82,1,0.0335,0.987,0.0,0.108,0.343,114.999,248200,4,0
7,,,Prélude X,,"['Henri Dumont', 'Bernard Foccroulle']",3bgiIj67auJTLzuU0G8oYW,0.272,0.231,1,-17.841,0,0.0368,0.955,0.874,0.159,0.451,84.935,124067,4,0
8,,,Kahan Se Aaye Badra,,"['Haimanti Sukla', 'K. J. Yesudas']",1hs3RQ0hMzbvQrLo6rj48j,0.38,0.389,1,-11.891,0,0.0319,0.934,2.45e-05,0.164,0.444,85.746,459760,4,0
9,,,"E5150 - Live at Hammersmith Odeon, London, UK, 12/31/1981",,['Black Sabbath'],1xLbkL8m46wmaTCd5RD3us,0.216,0.462,6,-27.536,1,0.0506,0.512,0.93,0.524,0.0375,75.722,76440,4,0
10,,,United - Remastered,,['Throbbing Gristle'],0SvLGiiiiI51drAitSVwQ3,0.284,0.433,5,-13.091,0,0.0994,0.0288,0.0132,0.0987,0.747,182.108,243516,5,0
11,,,Basho,,['Elton Dean Quintet'],1K8pV6JVb4qI8KW9dXNic1,0.273,0.733,9,-11.353,0,0.0689,0.152,0.00205,0.483,0.366,96.843,439267,4,0
12,,,"Joy, shipmate,joy",,"['Ralph Vaughan Williams', 'Jennifer Partridge', 'Ian Partridge']",4rhVMbd2xprQ7ZEFKcmxDq,0.269,0.13,11,-13.782,0,0.0334,0.994,0.752,0.106,0.455,160.405,59090,5,0
13,,,Yen Saay,,"['Orchestra Baobab', 'Baobab-Gouye-Gui de Dakar']",2u0wR60uVGLERCEr5N9o0V,0.48,0.253,4,-13.176,1,0.049,0.947,0.108,0.113,0.413,170.343,485320,4,0
14,,,Wish Upon Me,,['Suzi Quatro'],7huCoNgbuKdVDmy7HLm6ZS,0.465,0.771,9,-6.899,1,0.037,0.0286,2.49e-06,0.0669,0.612,135.853,178227,4,0
15,,,Y Tu Me Vas A Recordar,,['Vicente Fernández'],4x1sBSLxHH37ZzPhGY0Y7c,0.41,0.379,9,-6.612,1,0.032,0.613,1.44e-06,0.251,0.4,80.072,180160,4,0
16,,,Madai Thiranthu,,['S. P. Balasubrahmanyam'],697otrUAmXRQdZ8WK4orEH,0.578,0.433,10,-13.612,1,0.0683,0.844,4.68e-06,0.355,0.77,75.9,261355,4,0
17,,,El Que Se Fe,,['Tito Rodriguez'],4IfKINWvgF06RgN45ttHec,0.598,0.707,2,-11.133,1,0.0479,0.747,0.0489,0.0608,0.948,107.686,278773,4,0
18,,,"Rollin' Stone, Pt. 1",,['Robert Wilkins'],2egtyUIPpJlU9jhpGUcdF5,0.595,0.18,8,-17.844,1,0.0371,0.976,6.92e-05,0.207,0.282,109.703,173760,4,0
19,,,Juro Que Nunca Volveré,,['Juan Gabriel'],30cJ74XcqS8p0SFUEseMjt,0.456,0.218,5,-13.733,1,0.0437,0.493,0.0,0.176,0.67,84.879,139933,4,0
20,,,Wait And See,,['Stiff Little Fingers'],6GuN5u7JUeBMKo6MkqtxAI,0.54,0.779,2,-10.267,1,0.0491,0.000237,6.47e-06,0.108,0.814,98.843,266333,4,0
21,,,"Loser - Live at Fillmore East, New York City, April 1971",,['Grateful Dead'],1FuqOBpjU2ZCOVOV5mkpal,0.608,0.372,7,-13.209,1,0.0326,0.609,0.0361,0.17,0.39,117.604,423707,4,0
22,,,Coffin For Head of State (Part 1 & 2),,['Fela Kuti'],7d8PADmEkMERzZ3b1EEnzO,0.677,0.703,0,-8.52,0,0.0576,0.461,0.0149,0.0936,0.882,88.702,1362467,4,0
23,,,"Adon Olom - From ""The Jazz Singer"" Soundtrack",,['Neil Diamond'],6YQjFuzmAgHYCGjouy0Zkz,0.229,0.0153,3,-35.57,1,0.0468,0.933,0.0,0.732,0.335,116.238,35733,3,0
