year,median,average,std,maximum
1981,11,11.92842105263158,6.7554582269521894,31
1982,11,11.525252525252526,6.247174963709201,43
1983,10,11.175337186897881,6.373667521581325,36
1984,11,11.403688524590164,6.443160638671065,37
1985,12,12.008350730688935,6.329509588086956,40
1986,12,12.207468879668049,6.212329821649745,28
1987,12,12.356223175965665,6.299490840116281,35
1988,12,12.831896551724139,6.833548283319813,35
1989,12,12.51931330472103,6.686582002957433,39
1990,12,12.541850220264317,6.697616597888147,39
1991,12,12.509933774834437,6.677330109031983,30
1992,14,13.475409836065573,7.303367896854463,41
1993,13,13.778301886792454,7.869376918834308,40
1994,14,14.260340632603405,8.060615414426856,45
1995,14,14.56234718826406,8.930101681718495,45
1996,15,15.566579634464752,9.395895870691772,55
1997,15,14.667493796526054,9.240491168582603,60
1998,13,13.660421545667447,9.876913985088182,69
1999,14,14.192592592592593,7.972877565701606,53
2000,15,15.211442786069652,9.355413353264208,58
2001,17,16.03191489361702,8.614037693792083,55
2002,17,15.88659793814433,8.985634574483072,54
2003,16,15.015189873417722,8.154894650036665,44
2004,16,15.540051679586563,9.042520339517433,53
2005,14,14.286384976525822,8.905921497766867,46
2006,13,13.583148558758316,10.087135033083413,62
2007,14,13.843891402714933,9.7227120908149,64
2008,13,12.845511482254697,9.972616046717356,49
2009,10,11.8635477582846,10.118675526968861,76
2010,9,11.135687732342008,10.453505715412296,60
2011,8,11.046345811051694,10.265301732475859,53
2012,13,13.885209713024283,11.67555790722059,68
2013,13,13.872294372294371,11.926516271989993,67
2014,13,14.017738359201774,12.191605317059246,87
2015,11,12.914225941422593,11.382015611420204,57
2016,12,13.360887096774194,11.504623682683274,56
2017,9,11.892307692307693,11.387716841271274,52
2018,5,9.906727828746178,11.168712478805798,59
2019,5,10.34006734006734,11.35887870606966,53
2020,3,9.077903682719548,11.143978133900994,61
