Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
86,1.0,Hole In The Bottle,hole in the bottle,Kelsea Ballerini,['Kelsea Ballerini'],2yySWxfeRN2QRZnFMnYMQl,0.478,0.873,4.0,-3.637,1.0,0.122,0.0486,0.0,0.374,0.739,104.365,155668.0,4.0,9.0
97,1.0,Put Your Records On,Put Your Records On,Ritt Momney,['Ritt Momney'],6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6.0,-10.778,0.0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463.0,4.0,9.0
77,0.4178743961352656,Franchise,FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott Featuring Young Thug & M.I.A.,"['Travis Scott', 'Young Thug', 'M.I.A.']",4jVBIpuOiMj1crqd8LoCrJ,0.835,0.699,8.0,-5.405,0.0,0.277,0.00671,0.0,0.195,0.547,154.981,202795.0,4.0,9.0
75,0.5968253968253968,Make Me...,Make Me... (feat. G-Eazy),Britney Spears Featuring G-Eazy,"['Britney Spears', 'G-Eazy']",0nUGa8WQpQqg2vzJUprEo5,0.701,0.7,7.0,-6.672,0.0,0.0925,0.146,0.0,0.206,0.592,122.984,230960.0,4.0,9.0
66,0.9666666666666668,Ride It.,Ride It,Regard,['Regard'],2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7.0,-4.258,0.0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606.0,4.0,9.0
19,1.0,Sleigh Ride,Sleigh Ride,The Ronettes,['The Ronettes'],5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,2.0,-7.013,1.0,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267.0,4.0,9.0
71,1.0,Rise,Rise,Katy Perry,['Katy Perry'],1CwNogTShsnsn1C8UhRmYX,0.553,0.639,11.0,-6.445,1.0,0.0458,0.0468,0.0,0.107,0.442,101.418,203475.0,4.0,9.0
97,1.0,Got It On Me,Got It On Me,Pop Smoke,['Pop Smoke'],25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,2.0,-7.258,1.0,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580.0,4.0,9.0
90,0.6851851851851851,Grammys,Grammys,Drake Featuring Future,"['Drake', 'Future']",5e574bhjycX1eH2l4Auage,0.676,0.432,1.0,-9.51,1.0,0.502,0.00163,3.84e-06,0.0799,0.12,145.869,220427.0,4.0,9.0
91,1.0,Try Everything,Try Everything,Shakira,['Shakira'],1N3dZ7TTWO6VcD4Y3hHYLZ,0.705,0.609,1.0,-4.897,1.0,0.0307,0.0257,0.0,0.0846,0.476,115.474,196853.0,4.0,9.0
80,1.0,Gooba,GOOBA,6ix9ine,['6ix9ine'],4NhDYoQTYCdWHTvlbGVgwo,0.611,0.688,1.0,-5.688,1.0,0.341,0.0264,0.0,0.251,0.393,178.462,132303.0,4.0,9.0
94,1.0,I Do,I Do,Colbie Caillat,['Colbie Caillat'],42loEE51UDcecom9K8K4ei,0.655,0.877,9.0,-5.656,1.0,0.0329,0.22,0.0,0.0785,0.958,144.877,173360.0,4.0,9.0
93,0.3299663299663299,Flex,Flex (feat. Juice WRLD),Polo G Featuring Juice WRLD,"['Polo G', 'Juice WRLD']",2QqJTIlGKRLJC3onkavYEz,0.752,0.673,10.0,-5.792,0.0,0.153,0.0538,0.0,0.133,0.35,164.009,163902.0,4.0,9.0
90,1.0,Overdose,Overdose,YoungBoy Never Broke Again,['YoungBoy Never Broke Again'],3A1BaBGT3HgzuDrV9pgX9v,0.809,0.845,10.0,-5.843,0.0,0.352,0.224,0.0,0.638,0.67,90.015,176990.0,4.0,9.0
