,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
0,,,Hands Off,,['Junkyard'],7lsm2ytKjTaT3gaSKrGNhT,0.605,0.461,2,-11.247,1,0.0287,0.00273,0.0,0.146,0.501,121.926,325533,3,0
1,,,Tallahassee Lassie,,"[""Flamin' Groovies""]",68xs5tLAtp1STqOQuW0ROS,0.443,0.888,11,-11.204,1,0.105,0.0308,0.0,0.382,0.575,144.442,142733,4,0
2,,,C'mon Babe,,['2 LIVE CREW'],4ojSwzB88D3gSoHNuxdl2H,0.855,0.881,7,-11.657,1,0.188,0.023,0.000333,0.466,0.659,126.619,283573,4,0
3,,,"Te Deum, H.146 (1989 Digital Remaster): Te aeternum Patrem",,"['Academy of St. Martin in the Fields', 'Charles Brett', 'Philip Ledger', ""Choir of King's College, Cambridge"", 'Ian Partridge', 'Felicity Lott', 'Eiddwen Harrhy', 'Stephen Roberts']",7lhQ40TYLDz0ZkciMAgdyU,0.495,0.0838,2,-18.788,1,0.0363,0.984,0.00428,0.184,0.381,79.1,115133,4,0
4,,,Chinese Torture - Instrumental,,['Queen'],3LS8UOKrqBZMdTzcmt7MA9,0.308,0.734,4,-7.696,1,0.117,0.435,0.916,0.135,0.125,126.873,104400,4,0
5,,,O que en Santa María,,"['Alfonso X El Sabio', 'Turba Musici']",774fbWy9oFHGV2A4FDDvk7,0.331,0.406,11,-12.472,0,0.0344,0.106,0.0,0.428,0.53,100.952,389000,3,0
6,,,A Very Busy Kiki,,['Joe Hisaishi'],21oBEY5fssYB0z3IvYHDhh,0.639,0.359,2,-13.996,1,0.0285,0.286,4.66e-06,0.323,0.925,109.064,79787,3,0
7,,,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH. 55: 1. Allegro non troppo e molto maestoso - Allegro con spirito - Live at Philharmonie, Berlin",,"['Pyotr Ilyich Tchaikovsky', 'Evgeny Kissin', 'Berliner Philharmoniker', 'Herbert von Karajan']",62dD6AMgEvZq5OCHAZ7d9a,0.228,0.0776,10,-20.358,0,0.0379,0.981,0.91,0.166,0.0394,75.8,1421467,4,0
8,,,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",,"['Antonio Vivaldi', 'Nigel Kennedy', 'English Chamber Orchestra']",2nnXe7n3Vivs7OfQKRsfWD,0.362,0.569,7,-15.394,0,0.0345,0.876,0.91,0.327,0.746,148.692,173427,3,0
9,,,Big Tyme,,['Heavy D & The Boyz'],51rupTEx5nC1uZuT5setT0,0.84,0.417,1,-16.062,1,0.19,0.0175,8.14e-05,0.137,0.661,105.604,295333,4,0
10,,,No Myth,,['Michael Penn'],4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,-7.617,1,0.0319,0.054,8.83e-05,0.34,0.833,103.504,250813,4,0
11,,,"Visions Fugitives, Op. 22: XX. Lento irrealmente",,"['Sergei Prokofiev', 'Marta Deyanova']",7sKv8j2ApYjwf7iFRNNO4g,0.316,0.00534,11,-37.751,0,0.0499,0.99,0.953,0.0833,0.0385,63.047,111000,4,0
12,,,More Like Jesus (feat. John P. Kee),,"['The New Life Community Choir', 'John P. Kee']",5a3vU6iVJBx8dLr8YbGRKT,0.48,0.744,2,-6.681,0,0.0353,0.289,0.0,0.361,0.354,95.693,347333,4,0
13,,,B.B. King Medley: Sweet Little Angel/It's My Own Fault/How Blue Can You Get,,['Hour Glass'],2uPmbeRjnsWwoFJaMR7nv6,0.549,0.373,0,-12.08,1,0.0258,0.502,0.0053,0.147,0.67,82.937,426973,4,0
14,,,You Played Yourself,,['ICE-T'],1HS5ZGO0VGapsw04aqhk3a,0.823,0.603,10,-12.03,0,0.223,0.00181,7.83e-05,0.165,0.564,98.746,254267,4,0
15,,,Dougné te soyé,,['Amadou & Mariam'],4goWosVVzwjOnnLAYDo9Dp,0.565,0.431,5,-7.989,1,0.0296,0.844,0.0697,0.11,0.551,109.258,253235,4,0
16,,,Any Love,,['Luther Vandross'],4RV8fDmFgWX7ijyLACcikt,0.684,0.486,5,-12.689,0,0.0275,0.483,0.0,0.0782,0.723,92.967,302507,4,0
17,,,El Último Trago,,['Mister Chivo'],1IXgjXLyv6OqaTfwJr4Bi2,0.754,0.735,5,-5.506,1,0.0785,0.427,0.0,0.0715,0.842,72.177,208160,4,0
18,,,So It Goes,,['Nick Lowe'],6K8oEYCYwvEQWvq8hEDuDi,0.522,0.634,9,-11.688,1,0.0507,0.00192,1.71e-06,0.575,0.468,140.43,149200,4,0
19,,,Please Be Careful With My Heart,,"['Jose Mari Chan', 'Regine Velasquez']",1e94BlwdHDMcadDh2abL4Q,0.573,0.331,7,-13.529,0,0.0248,0.655,0.0,0.0865,0.361,99.578,216440,4,0
20,,,Luck in My Eyes,,['k.d.lang & The Reclines'],34D87z6j3u145iwp1EZHfU,0.73,0.7,9,-9.129,1,0.0341,0.161,0.00305,0.0391,0.961,98.057,252040,4,0
21,,,(All I Can Do Is) Dream You,,['Roy Orbison'],3K5qBAFO9tAyc5TNENxh2S,0.535,0.73,9,-12.483,1,0.0365,0.0322,0.000279,0.185,0.697,153.783,218693,4,0
22,,,"Vivaldi: The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto",,"['Antonio Vivaldi', 'Nigel Kennedy', 'English Chamber Orchestra']",4Fwh7LLCxx9Z3nKQSszq4d,0.19,0.0453,11,-33.712,0,0.0364,0.553,0.357,0.425,0.0375,112.487,175400,4,0
