,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Don't Forget About Us,Mariah Carey,,,,,,,,,,,,,,
1,Run It! (feat. Juelz Santana),"['Chris Brown', 'Juelz Santana']",7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1.0,-6.721,0.0,0.129,0.0246,0.0,0.393,0.212,100.969,229867.0,4.0
2,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",,,,,,,,,,,,,,
3,Laffy Taffy,['D4L'],2ajhenDRiiAnCHHjsIOHhJ,0.891,0.439,7.0,-7.994,0.0,0.428,0.0351,0.0,0.0932,0.622,77.499,224253.0,4.0
4,Stickwitu,['The Pussycat Dolls'],4NjR63Up0uMkQBlKvlZd1l,0.655,0.54,9.0,-6.482,1.0,0.0516,0.268,0.0,0.068,0.43,79.983,207507.0,4.0
5,Photograph,['Nickelback'],3hb2ScEVkGchcAQqrPLP0R,0.515,0.876,8.0,-3.756,1.0,0.0292,0.000932,0.000166,0.136,0.385,145.916,258920.0,4.0
6,Gold Digger,Kanye West Featuring Jamie Foxx,,,,,,,,,,,,,,
7,Check On It,Beyonce Featuring Slim Thug,,,,,,,,,,,,,,
8,Because of You,['Kelly Clarkson'],3f3omU8n47Mqyab5nCaGyT,0.583,0.584,5.0,-5.362,0.0,0.0314,0.254,0.0,0.123,0.136,140.039,219493.0,4.0
9,There It Go (The Whistle Song),['Juelz Santana'],50UkypyQJbSQLaXHke5Yep,0.942,0.892,6.0,-6.363,0.0,0.196,0.023,0.000897,0.264,0.595,100.007,180493.0,4.0
10,My Humps (Dance Remix),['The Tribute Co.'],4XbhgSxKc2KEoVV43rnwSM,0.89,0.646,6.0,-6.788,1.0,0.054,0.0336,0.000134,0.0265,0.856,129.976,231855.0,4.0
11,One Wish,['Ray J'],5qrzhg9Fmu8Amg2uMhHfe5,0.525,0.652,5.0,-7.042,0.0,0.28,0.278,0.0,0.339,0.602,127.673,337640.0,4.0
12,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,,,,,,,,,,,,,,
13,Soul Survivor,Young Jeezy Featuring Akon,,,,,,,,,,,,,,
14,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",,,,,,,,,,,,,,
