,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,"Lose Yourself - From ""8 Mile"" Soundtrack",['Eminem'],5Z01UMMf7V1o0MzF86s6WJ,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,4
1,Work It,"Missy ""Misdemeanor"" Elliott",3jagJCUbdqhDSPuxP8cAqF,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,263227,4
2,Air Force Ones,"['Nelly', 'Murphy Lee', 'Ali', 'Kyjuan']",7kAFSrTIOiVZ0gnHBuAH3l,0.784,0.459,4,-9.74,0,0.317,0.0847,0,0.079,0.618,164.062,304000,4
3,03' Bonnie & Clyde,"['JAY-Z', 'Beyoncé']",5ljCWsDlSyJ41kwqym2ORw,0.759,0.678,9,-5.148,0,0.314,0.23,0,0.15,0.327,89.64,205560,4
4,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"['Jennifer Lopez', 'Jadakiss', 'Styles P']",4ZOyH6KjomjlqCz3oFqglr,0.844,0.754,6,-5.46,1,0.207,0.00833,3.42E-06,0.0575,0.961,100.002,187840,4
5,Beautiful,['Christina Aguilera'],3TCauNPqFiniaYHBvEVoHG,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05E-06,0.114,0.0992,76.19,238560,4
6,"Bump, Bump, Bump (feat. P. Diddy)","['B2K', 'Diddy']",74jMwg2zsFMICzW3Wems6h,0.833,0.681,1,-6.028,0,0.215,0.0956,0,0.0414,0.887,95.48,282533,4
7,Don't Mess With My Man (feat. Brian Casey & Brandon Casey),"['Nivea', 'Brian Casey', 'Brandon Casey']",39YovPslPCXbFYhlYjsZ2Y,0.879,0.73,11,-4.369,0,0.164,0.114,0,0.241,0.885,99.925,213227,4
8,Love Of My Life (An Ode To Hip Hop) - Longer Album Version,"['Erykah Badu', 'Common']",0ieS2bue78yadTdPiyzsaO,0.618,0.413,5,-9.311,0,0.398,0.134,0.000338,0.0913,0.462,87.412,337573,4
9,Underneath It All,"['No Doubt', 'Lady Saw']",6fR6Z0Vc1K6yQWNUIKjAIR,0.729,0.731,4,-4.823,1,0.0682,0.235,1.35E-06,0.391,0.838,138.204,302720,4
10,Miss You,['Aaliyah'],0tr492xughUjNeqSDDD5nK,0.678,0.338,10,-9.899,1,0.0319,0.655,0,0.215,0.502,109.888,245227,4
11,I'm with You,['Avril Lavigne'],1jlG3KJ3gdYmhfuySFfpO1,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,223067,3
12,She Hates Me,['Puddle Of Mudd'],16DhvbuyvJob4Q9GHNYu2n,0.58,0.748,4,-5.433,1,0.0323,0.00935,0,0.753,0.584,109.781,216760,4
13,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,"['Santana', 'Michelle Branch']",41IShViF79gmulEkIHAjcb,0.59,0.929,2,-3.236,1,0.0478,0.0714,0.000153,0.0598,0.674,119.818,254467,4
14,All I Have (feat. LL Cool J),"['Jennifer Lopez', 'LL Cool J']",3kgutGd839IOYRl6ekeq6V,0.699,0.668,1,-5.305,1,0.106,0.265,0,0.141,0.472,83.074,254467,4
15,Karaoke - Landslide,['Karaoke - Dixie Chicks'],38wTBBl2xMxaSP67S5cin3,0.604,0.522,4,-9.612,0,0.0271,0.298,0.0533,0.092,0.337,146.007,227004,4
16,Cry Me a River,['Justin Timberlake'],7Lf7oSEVdzZqTA0kEDSlS5,0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,288333,4
17,Gimme the Light,['Sean Paul'],3SCVtAJq8li6HlKfM4M08u,0.778,0.761,2,-5.529,1,0.0525,0.141,4.61E-05,0.0441,0.923,107.288,228000,4
18,Thugz Mansion - 7 Remix,"['2Pac', 'Anthony Hamilton']",3eBBbAEBQdr6tkUUd8gyuQ,0.703,0.639,5,-6.183,0,0.281,0.299,0,0.139,0.893,87.908,247600,4
19,Family Portrait,['P!nk'],6VD5vEK2wVfTG7q84pJ6EO,0.65,0.685,0,-5.26,0,0.139,0.0272,3.56E-06,0.572,0.735,183.695,296960,4
20,Your Body Is a Wonderland,['John Mayer'],7vFv0yFGMJW3qVXbAd9BK9,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627,4
21,When the Last Time,['Clipse'],0EXm0iaB0CzqtsB3VaupXj,0.847,0.884,11,-3.326,1,0.245,0.514,0,0.303,0.845,99.036,254307,4
22,Dontchange,['Musiq Soulchild'],3DkaXDmC0qaFNAxgLMuwX4,0.58,0.526,6,-6.664,0,0.0313,0.221,0,0.0959,0.2,101.89,304427,4
23,Picture (feat. Sheryl Crow),"['Kid Rock', 'Sheryl Crow']",69j0KoPJuwpnbGWrfn7Yll,0.692,0.496,7,-7.332,1,0.0241,0.172,6.42E-06,0.107,0.376,97.945,298960,4
24,Mesmerize,"['Ja Rule', 'Ashanti']",2iclfHORMqpR3TxuhwVRhD,0.764,0.648,1,-6.639,1,0.206,0.0563,0,0.414,0.391,90.1,278720,4
25,I Should Be...,['Dru Hill'],7qZWCIgHBgjyuUBOnGnD9k,0.383,0.749,1,-3.931,0,0.084,0.199,0,0.204,0.466,122.141,297627,4
26,One Last Breath,['Creed'],42T2QQv3xgBlpQxaSP7lnK,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,238240,4
27,19 Somethin' - Greatest Hits Version,['Mark Wills'],0ElpjZyX8YBiXuYcDC1Ci9,0.58,0.816,4,-5.165,1,0.0726,0.132,0,0.0776,0.814,89.938,200467,4
28,Satisfaction,['Eve'],0klzutEUO6IX3QSmtRDFrq,0.843,0.553,11,-3.198,0,0.437,0.236,0,0.0523,0.63,93.383,258733,4
29,Fabulous,"['Jaheim', ""Tha' Rayne""]",7A1uqFLf1ZogDxxQZDoZHK,0.657,0.464,4,-7.573,0,0.0614,0.548,0,0.161,0.598,75.982,227067,4
30,Hey Ma,"['Cam’ron', 'Juelz Santana', 'Freekey Zeekey', 'Toya']",0Uhnzk5zI46IRlQ04LNOtc,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33E-06,0.0796,0.938,90.345,232533,4
31,Ignition - Remix,['R. Kelly'],5dNfHmqgr128gMY2tc5CeJ,0.795,0.523,1,-7.165,1,0.0423,0.061,0,0.0914,0.855,133.024,186067,4
32,She'll Leave You With A Smile - 2001 Version,['George Strait'],0sKXWw2C1m3RMl4AX6JLlF,0.635,0.6,4,-7.233,1,0.0229,0.59,0.000198,0.254,0.516,97.983,178773,4
33,Who's Your Daddy?,['Toby Keith'],0x7Yp9FYMcTH9u1hxxnh4e,0.684,0.872,9,-4.307,1,0.0402,0.283,0.0289,0.049,0.849,126.381,238013,4
34,Luv U Better,['LL Cool J'],0HJYzGavqzjiKMmm4F0UZv,0.668,0.806,6,-3.9,1,0.239,0.232,0,0.18,0.721,95.022,287000,4
35,When I'm Gone,['3 Doors Down'],3WbphvawbMZ8FyqDxYGdSQ,0.53,0.768,7,-5.611,1,0.0284,0.00385,0,0.103,0.374,148.095,260333,4
36,Dilemma,"['Nelly', 'Kelly Rowland']",0ARK753YaiJbpLUk7z5yIM,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4
37,These Days,['Rascal Flatts'],5nWgEBtaRwVrCMjer1RtLm,0.587,0.778,7,-4.233,1,0.0343,0.31,0,0.318,0.319,81.943,254493,4
38,Made You Look,['Nas'],3qRPc4QpHGNwKFAzCdqwxA,0.658,0.936,5,-5.105,0,0.3,0.172,0,0.321,0.711,95.439,203000,4
39,Do That... - Main,"['Baby', 'Diddy', 'Mannie Fresh', 'Tateeze']",2UuYX9gpimgG9woC5cnfV9,0.86,0.783,1,-4.821,1,0.248,0.358,0,0.248,0.71,101.992,301187,4
40,Lifestyles of the Rich & Famous,['Good Charlotte'],2g2a5kDeZexbUTD8abcvm6,0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,190173,4
41,"Wanksta - From ""8 Mile"" Soundtrack",['50 Cent'],6rpNe6gSkmiYW6BfSFATi5,0.806,0.867,1,-3.538,1,0.157,0.02,0,0.131,0.904,81.033,219400,4
42,Paradise,"['LL Cool J', 'Amerie']",7mXcOogtMp4naepUnMxwNQ,0.78,0.824,5,-2.988,0,0.2,0.0153,5.13E-05,0.15,0.845,97.884,275067,4
43,Disease,['Matchbox Twenty'],4OepLJ2fUvHRmVB8XklIe8,0.541,0.833,8,-4.647,0,0.0583,0.0187,0,0.143,0.84,115.052,219360,4
44,Something,['Lasgo'],3e9L9HiHKcfYLAga28Vmcf,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01,220973,4
45,Die Another Day,['Madonna'],7DUpuAzGUyJaJB3p9BC3Ms,0.792,0.797,0,-5.166,0,0.0901,0.062,0.00325,0.0896,0.491,123.993,276360,4
